[198.33333333],[2.48863191]
[197.5],[2.546242]
[196.66666667],[2.60270896]
[195.83333333],[2.65740476]
[195.],[2.711261]
[194.16666667],[2.76376871]
[193.33333333],[2.81548088]
[192.5],[2.86627616]
[191.66666667],[2.9163305]
[190.83333333],[2.96621082]
[190.],[3.01565133]
[189.16666667],[3.0653764]
[188.33333333],[3.1147988]
[187.5],[-3.11866145]
[186.66666667],[-3.06897005]
[185.83333333],[-3.01910661]
[185.],[-2.96909582]
[184.16666667],[-2.91935273]
[183.33333333],[-2.8696013]
[182.5],[-2.82049482]
[181.66666667],[-2.77161222]
[180.83333333],[-2.723537]
[180.],[-2.67612455]
[179.16666667],[-2.62962202]
[178.33333333],[-2.58420532]
[177.5],[-2.53961758]
[176.66666667],[-2.49624769]
[175.83333333],[-2.45361358]
[175.],[-2.41210436]
[174.16666667],[-2.3712908]
[173.33333333],[-2.33122428]
[172.5],[-2.29173063]
[171.66666667],[-2.25250643]
[170.83333333],[-2.21372236]
[170.],[-2.17489758]
[169.16666667],[-2.1363201]
[168.33333333],[-2.09757949]
[167.5],[-2.05885628]
[166.66666667],[-2.02008672]
[165.83333333],[-1.98124173]
[165.],[-1.94260135]
[164.16666667],[-1.90394619]
[163.33333333],[-1.86570227]
[162.5],[-1.82768191]
[161.66666667],[-1.79022583]
[160.83333333],[-1.75335069]
[160.],[-1.71711409]
[159.16666667],[-1.68173848]
[158.33333333],[-1.64702989]
[157.5],[-1.61329551]
[156.66666667],[-1.58027348]
[155.83333333],[-1.54812935]
[155.],[-1.5166993]
[154.16666667],[-1.48588143]
[153.33333333],[-1.45569958]
[152.5],[-1.42585351]
[151.66666667],[-1.3964747]
[150.83333333],[-1.36723664]
[150.],[-1.33821901]
[149.16666667],[-1.30926677]
[148.33333333],[-1.280327]
[147.5],[-1.25148674]
[146.66666667],[-1.22258418]
[145.83333333],[-1.19384509]
[145.],[-1.16512952]
[144.16666667],[-1.13664442]
[143.33333333],[-1.10840413]
[142.5],[-1.08047636]
[141.66666667],[-1.05303627]
[140.83333333],[-1.02601206]
[140.],[-0.99963728]
[139.16666667],[-0.97381189]
[138.33333333],[-0.94868]
[137.5],[-0.92421192]
[136.66666667],[-0.90037053]
[135.83333333],[-0.87721531]
[135.],[-0.85457067]
[134.16666667],[-0.83251693]
[133.33333333],[-0.81086155]
[132.5],[-0.78960395]
[131.66666667],[-0.76864473]
[130.83333333],[-0.74787191]
[130.],[-0.72731055]
[129.16666667],[-0.70679986]
[128.33333333],[-0.68642245]
[127.5],[-0.66607209]
[126.66666667],[-0.64580081]
[125.83333333],[-0.62563051]
[125.],[-0.60554902]
[124.16666667],[-0.58568663]
[123.33333333],[-0.56600063]
[122.5],[-0.5466384]
[121.66666667],[-0.52759557]
[120.83333333],[-0.5089508]
[120.],[-0.49077063]
[119.16666667],[-0.47303725]
[118.33333333],[-0.45584965]
[117.5],[-0.43913691]
[116.66666667],[-0.42295861]
[115.83333333],[-0.40725872]
[115.],[-0.39200711]
[114.16666667],[-0.37719191]
[113.33333333],[-0.36270652]
[112.5],[-0.34856223]
[111.66666667],[-0.33464424]
[110.83333333],[-0.32094371]
[110.],[-0.30740164]
[109.16666667],[-0.29396807]
[108.33333333],[-0.28065663]
[107.5],[-0.26740348]
[106.66666667],[-0.25426206]
[105.83333333],[-0.2412034]
[105.],[-0.22827072]
[104.16666667],[-0.21549692]
[103.33333333],[-0.20289348]
[102.5],[-0.19053895]
[101.66666667],[-0.1784296]
[100.83333333],[-0.16664029]
[100.],[-0.15517986]
[99.16666667],[-0.14407743]
[98.33333333],[-0.13336415]
[97.5],[-0.12301888]
[96.66666667],[-0.11307402]
[95.83333333],[-0.10348483]
[95.],[-0.09425274]
[94.16666667],[-0.08534177]
[93.33333333],[-0.07671128]
[92.5],[-0.06834581]
[91.66666667],[-0.06018193]
[90.83333333],[-0.05221186]
[90.],[-0.04438436]
[89.16666667],[-0.03668366]
[88.33333333],[-0.02909518]
[87.5],[-0.02159483]
[86.66666667],[-0.01420103]
[85.83333333],[-0.00689727]
[85.],[0.00028703]
[84.16666667],[0.00734335]
[83.33333333],[0.01425046]
[82.5],[0.02097464]
[81.66666667],[0.02750692]
[80.83333333],[0.0338071]
[80.],[0.0398692]
[79.16666667],[0.04566862]
[78.33333333],[0.05119492]
[77.5],[0.05644939]
[76.66666667],[0.0614217]
[75.83333333],[0.06613208]
[75.],[0.07058144]
[74.16666667],[0.07479359]
[73.33333333],[0.07878733]
[72.5],[0.08258054]
[71.66666667],[0.0862044]
