[61.51537884],[-0.44491995]
[60.01500375],[-0.41473127]
[58.51462866],[-0.39075025]
[57.01425356],[-0.36983176]
[55.51387847],[-0.34995899]
[54.01350338],[-0.33024334]
[52.51312828],[-0.31050244]
[51.01275319],[-0.2906937]
[49.51237809],[-0.27101445]
[48.012003],[-0.25169587]
[46.51162791],[-0.23293109]
[45.01125281],[-0.21493229]
[43.51087772],[-0.1978529]
[42.01050263],[-0.181803]
[40.51012753],[-0.16685675]
[39.00975244],[-0.15302504]
[37.50937734],[-0.14027612]
[36.00900225],[-0.12853869]
[34.50862716],[-0.11770854]
[33.00825206],[-0.10767337]
[31.50787697],[-0.09832329]
[30.00750188],[-0.08956488]
[28.50712678],[-0.08133273]
[27.00675169],[-0.07358795]
[25.50637659],[-0.06631643]
[24.0060015],[-0.059521]
[22.50562641],[-0.05320969]
[21.00525131],[-0.04738766]
[19.50487622],[-0.04204928]
[18.00450113],[-0.03717412]
[16.50412603],[-0.03272831]
[15.00375094],[-0.02866714]
[13.50337584],[-0.02494069]
[12.00300075],[-0.0214997]
[10.50262566],[-0.01829929]
[9.00225056],[-0.01530158]
[7.50187547],[-0.0124755]
[6.00150038],[-0.00979441]
[4.50112528],[-0.00723364]
[3.00075019],[-0.00476735]
[1.50037509],[-0.00236672]
