[160.],[-0.10976803]
[157.5],[-0.08292615]
[155.],[-0.06554872]
[152.5],[-0.0549348]
[150.],[-0.04813355]
[147.5],[-0.04351417]
[145.],[-0.03958557]
[142.5],[-0.03582501]
[140.],[-0.03190635]
[137.5],[-0.02787674]
[135.],[-0.02376659]
[132.5],[-0.01954987]
[130.],[-0.01515814]
[127.5],[-0.01048277]
[125.],[-0.00555506]
[122.5],[-0.00048296]
[120.],[0.0044928]
[117.5],[0.00916556]
[115.],[0.01339068]
[112.5],[0.01717066]
[110.],[0.02060104]
[107.5],[0.02381022]
[105.],[0.0268765]
[102.5],[0.02978617]
[100.],[0.03245873]
[97.5],[0.03479473]
[95.],[0.03674802]
[92.5],[0.038345]
[90.],[0.03967747]
[87.5],[0.04084607]
[85.],[0.0419143]
[82.5],[0.04288011]
[80.],[0.04369091]
[77.5],[0.04428241]
[75.],[0.04461906]
[72.5],[0.04471496]
[70.],[0.04462188]
[67.5],[0.0444005]
[65.],[0.04408691]
[62.5],[0.04368004]
[60.],[0.04314883]
[57.5],[0.0424572]
[55.],[0.04158683]
[52.5],[0.0405477]
[50.],[0.03937098]
[47.5],[0.03809116]
[45.],[0.03672977]
[42.5],[0.03528851]
[40.],[0.03375568]
[37.5],[0.03211811]
[35.],[0.03037265]
[32.5],[0.0285288]
[30.],[0.02660435]
[27.5],[0.0246166]
[25.],[0.02257625]
[22.5],[0.02048645]
[20.],[0.0183465]
[17.5],[0.01615709]
[15.],[0.0139228]
[12.5],[0.01165182]
[10.],[0.00935289]
[7.5],[0.00703333]
[5.],[0.00469824]
[2.5],[0.00235212]
